20080526-115759 : GW59153 ; %UserProfileCitrix%\GW59153
20080526-115759 : GZ39014 ; %UserProfileCitrix%\GZ39014
20080526-115800 : HA38314 ; %UserProfileCitrix%\HA38314
20080526-115800 : HA73510 ; %UserProfileCitrix%\HA73510
20080526-115800 : HA79781 ; %UserProfileCitrix%\HA79781
20080526-115801 : HA89051 ; %UserProfileCitrix%\HA89051
20080526-115801 : HA89055 ; %UserProfileCitrix%\HA89055
20080526-115802 : HAE1785 ; %UserProfileCitrix%\HAE1785
20080526-115802 : HAE1801 ; %UserProfileCitrix%\HAE1801
20080526-115802 : HB38316 ; %UserProfileCitrix%\HB38316
20080526-115803 : HB58419 ; %UserProfileCitrix%\HB58419
20080526-115803 : HB72018 ; %UserProfileCitrix%\HB72018
20080526-115803 : HB77203 ; %UserProfileCitrix%\HB77203
20080526-115804 : HB77513 ; %UserProfileCitrix%\HB77513
20080526-115804 : HBE1602 ; %UserProfileCitrix%\HBE1602
20080526-115804 : HC77567 ; %UserProfileCitrix%\HC77567
20080526-115805 : HD39936 ; %UserProfileCitrix%\HD39936
20080526-115805 : HD59189 ; %UserProfileCitrix%\HD59189
20080526-115805 : HD76628 ; %UserProfileCitrix%\HD76628
20080526-115806 : HD77028 ; %UserProfileCitrix%\HD77028
20080526-115806 : HDE1859 ; %UserProfileCitrix%\HDE1859
20080526-115807 : HE72867 ; %UserProfileCitrix%\HE72867
20080526-115807 : HE73089 ; %UserProfileCitrix%\HE73089
20080526-115807 : HF77094 ; %UserProfileCitrix%\HF77094
20080526-115808 : HF77375 ; %UserProfileCitrix%\HF77375
20080526-115808 : HG34112 ; %UserProfileCitrix%\HG34112
20080526-115809 : HG38211 ; %UserProfileCitrix%\HG38211
20080526-115809 : HG78006 ; %UserProfileCitrix%\HG78006
20080526-115809 : HH35665 ; %UserProfileCitrix%\HH35665
20080526-115810 : HH36061 ; %UserProfileCitrix%\HH36061
20080526-115810 : ERROR: HH37136 ; \\S060\CTXPROF$\HH37136
20080526-115810 : HH37766 ; %UserProfileCitrix%\HH37766
